StationId,StationName,County,Town,Latitude,Longitude,Now,Past10Min,Past1hr,Past3hr,Past6Hr,Past12hr,Past24hr,Past2days,Past3days
467490,臺中,臺中市,北區,24.145736,120.684075,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
C0F0B0,石岡,臺中市,石岡區,24.276061,120.777644,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.5,55.5
C0F0C0,中坑,臺中市,和平區,24.248517,120.903319,0.0,0.0,0.0,0.0,0.0,0.0,23.0,72.0,72.5
C0F0D0,審馬陣,臺中市,和平區,24.381675,121.4203,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,5.0
C0F850,東勢,臺中市,東勢區,24.246428,120.833047,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,51.5
C0F970,大坑,臺中市,北屯區,24.173142,120.722289,0.0,0.0,0.0,0.0,0.0,0.0,5.5,59.5,60.5
C0F9I0,神岡,臺中市,神岡區,24.272481,120.658314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0F9K0,大安,臺中市,大安區,24.345061,120.588025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0F9L0,后里,臺中市,后里區,24.310436,120.729725,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.0,5.5
C0F9M0,豐原,臺中市,豐原區,24.254322,120.720692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
C0F9N0,大里,臺中市,大里區,24.092464,120.701378,0.5,0.0,0.0,0.0,0.0,0.5,1.5,1.5,6.0
C0F9O0,潭子,臺中市,潭子區,24.213106,120.703933,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
C0F9P0,清水,臺中市,清水區,24.312297,120.562242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0F9Q0,外埔,臺中市,外埔區,24.347817,120.705686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0F9R0,龍井,臺中市,龍井區,24.184536,120.528972,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
C0F9S0,烏日,臺中市,烏日區,24.107058,120.624103,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
C0F9T0,西屯,臺中市,西屯區,24.179494,120.641275,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
C0F9U0,南屯,臺中市,南屯區,24.137006,120.637969,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0
C0F9V0,新社,臺中市,新社區,24.200172,120.815806,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,83.5
C0F9X0,大雅,臺中市,大雅區,24.215281,120.62445,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
C0F9Y0,桃山,臺中市,和平區,24.432739,121.303808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
C0F9Z0,雪山東峰,臺中市,和平區,24.388792,121.268675,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.5
C0FA10,松柏,臺中市,大甲區,24.429117,120.617483,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5
C0FA20,溫寮,臺中市,大安區,24.372178,120.583125,1.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5
C0FA30,梧棲,臺中市,梧棲區,24.256003,120.523381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0FA40,臺中電廠,臺中市,龍井區,24.214641,120.490744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
C0FA50,霧峰,臺中市,霧峰區,24.041897,120.699472,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5
C0FA60,鞍馬山工作站,臺中市,和平區,24.267064,121.000793,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.5,15.0
C0FA70,大雪山埡口,臺中市,和平區,24.26867,121.03062,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0
C0FA80,小雪山天池,臺中市,和平區,24.28025,121.02627,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,26.0
C0FA90,小雪山林道,臺中市,和平區,24.29515,121.03651,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.5,43.0
C0FB00,大雪山,臺中市,和平區,24.254668,121.007374,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.5,10.5
C0FB10,出雲山苗圃,臺中市,和平區,24.23105,120.90475,0.0,0.0,0.0,0.0,0.0,0.0,41.0,69.5,69.5
C0FB20,雪山橋,臺中市,和平區,24.23192,120.9786,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0
C0FB30,八仙山苗圃,臺中市,和平區,24.192719,121.001366,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.5
